symbol,name,engname,tradetype,lasttrade,prevclose,open,high,low,volume,amount,ticktime,buy,sell,pricechange,changepercent
00057,震雄集团,CHEN HSONG HOLD,,1.41000,1.40000,1.41000,1.41000,1.41000,14000,19740,2025/05/29 11:23:11,1.40000,1.42000,0.01000,0.71429
00058,新威国际,SUNWAY INT'L,,0.15100,0.15300,0.15100,0.15100,0.15100,40000,6040,2025/05/29 13:00:31,0.15100,0.16000,-0.00200,-1.30719
00059,天誉置业,SKYFAME REALTY,,0.01000,0.01000,0.00000,0.00000,0.00000,0,0,2025/05/29 08:55:00,0.00000,0.00000,0.00000,0.00000
00060,香港食品投资,HK FOOD INV,,0.43000,0.43000,0.00000,0.00000,0.00000,0,0,2025/05/29 10:03:07,0.42500,0.43500,0.00000,0.00000
00061,绿领控股,GREEN LEADER,,0.07600,0.07600,0.00000,0.00000,0.00000,0,0,2025/05/29 13:00:21,0.06900,0.08800,0.00000,0.00000
00062,载通,TRANSPORT INT'L,,9.04000,9.12000,9.13000,9.13000,9.00000,144800,1316600,2025/05/29 14:09:02,9.02000,9.06000,-0.08000,-0.87719
00063,中亚烯谷集团,CHI ASIA VALLEY,,0.05900,0.05900,0.00000,0.00000,0.00000,0,0,2025/05/29 11:46:36,0.05600,0.06100,0.00000,0.00000
00064,结好控股,GET NICE,,0.14300,0.14300,0.00000,0.00000,0.00000,0,0,2025/05/29 09:55:59,0.14300,0.14500,0.00000,0.00000
00065,弘海高新资源,GRAND OCEAN AR,,0.47500,0.47500,0.00000,0.00000,0.00000,0,0,2025/05/29 08:55:00,0.00000,0.00000,0.00000,0.00000
00066,港铁公司,MTR CORPORATION,,27.30000,27.05000,27.20000,27.50000,27.15000,3290764,89904598,2025/05/29 14:11:25,27.25000,27.30000,0.25000,0.92421
00069,香格里拉（亚洲）,SHANGRI-LA ASIA,,4.42000,4.46000,4.45000,4.48000,4.42000,242030,1075441,2025/05/29 14:06:25,4.42000,4.44000,-0.04000,-0.89686
