序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
4448,301301,川宁生物,12.57,-1.8,-0.23,308609.0,388337873.0,2.73,12.85,12.5,12.8,12.8,0.54,5.01,24.28,3.42,27995401200.0,7741766927.0,0.08,0.08,-4.56,5.99
4449,603121,华培动力,23.5,-1.8,-0.43,54355.0,128115803.0,1.84,23.81,23.37,23.81,23.93,0.56,1.61,137.93,6.38,7955542303.0,7955542303.0,-0.21,-0.21,23.62,113.06
4450,301315,威士顿,45.18,-1.8,-0.83,11833.0,53957138.56,3.54,46.68,45.05,46.01,46.01,0.8,3.2,173.2,3.84,3975840000.0,1671660000.0,0.0,0.02,-27.94,-33.84
4451,600272,开开实业,13.64,-1.8,-0.25,40362.0,55361961.0,2.23,13.91,13.6,13.87,13.89,0.53,2.52,103.86,5.29,3314520000.0,2182400000.0,0.07,-0.15,-10.5,-10.38
4452,300805,电声股份,10.82,-1.81,-0.2,91606.0,98879613.7,3.45,11.01,10.63,11.01,11.02,0.68,3.18,264.6,2.98,4590423865.0,3117921409.0,0.09,0.09,-5.42,-2.35
4453,300085,银之杰,34.66,-1.81,-0.64,325716.0,1134014090.8,2.83,35.5,34.5,35.01,35.3,0.73,5.13,-238.99,47.17,24492160943.0,22004468038.0,0.03,0.06,-11.04,-9.39
4454,600381,*ST春天,3.8,-1.81,-0.07,81806.0,31124369.0,5.43,3.94,3.73,3.89,3.87,0.78,1.39,62.54,2.14,2230830816.0,2230830816.0,0.0,0.0,-6.17,4.11
4455,300942,易瑞生物,9.22,-1.81,-0.17,61957.0,57782899.0,3.83,9.56,9.2,9.35,9.39,0.67,1.54,-276.46,4.68,3700147839.0,3700147839.0,-0.11,-0.11,7.46,7.84
4456,688049,炬芯科技,46.58,-1.81,-0.86,40144.0,188399785.0,3.16,47.89,46.39,47.51,47.44,0.67,3.58,41.06,3.54,6807033698.0,5229447353.0,0.04,-0.02,-8.27,3.81
4457,688176,亚虹医药-U,8.14,-1.81,-0.15,74899.0,61454950.0,2.65,8.35,8.13,8.26,8.29,0.44,1.98,-13.89,2.45,4639800000.0,3079206957.0,-0.12,-0.25,0.25,19.88
4458,300675,建科院,14.11,-1.81,-0.26,17308.0,24567699.35,2.51,14.42,14.06,14.39,14.37,0.69,1.18,-14.57,3.63,2069467137.0,2069467137.0,0.0,0.07,-8.79,-12.47
4459,600207,安彩高科,4.35,-1.81,-0.08,293895.0,128491791.0,1.81,4.42,4.34,4.4,4.43,0.35,2.7,-11.05,1.82,4738509610.0,4738509610.0,-0.23,0.0,-4.61,-2.47
4460,002622,皓宸医疗,2.71,-1.81,-0.05,152818.0,41642087.0,2.54,2.77,2.7,2.77,2.76,1.05,1.82,-46.59,5.96,2276400000.0,2276332928.0,0.0,0.0,-10.86,-1.81
4461,836942,恒立钻具,19.5,-1.81,-0.36,9839.0,19443491.64,4.38,20.28,19.41,19.96,19.86,0.43,2.39,23.7,2.39,1195878450.0,804424023.0,-0.15,-0.15,20.0,41.41
4462,301237,和顺科技,24.89,-1.81,-0.46,5024.0,12547481.0,2.37,25.4,24.8,25.35,25.35,0.73,1.28,-55.82,1.51,1991200000.0,976932500.0,-0.24,-0.04,1.51,4.14
4463,002583,海能达,11.36,-1.82,-0.21,393132.0,449225398.43,2.68,11.64,11.33,11.56,11.57,0.71,3.06,190.37,8.51,20659516168.0,14571711117.0,-0.09,-0.09,-19.94,-20.06
4464,001206,依依股份,21.61,-1.82,-0.4,86847.0,187362903.36,3.18,22.01,21.31,22.01,22.01,0.44,8.17,18.47,2.19,3995555191.0,2297477112.0,0.05,-0.09,2.86,30.73
4465,300699,光威复材,29.17,-1.82,-0.54,71624.0,210382531.15,2.39,29.85,29.14,29.67,29.71,0.74,0.87,39.16,4.61,24250537840.0,23961493739.0,0.0,-0.03,-8.36,-14.58
4466,002298,中电鑫龙,5.95,-1.82,-0.11,462618.0,276500363.0,2.48,6.06,5.91,6.02,6.06,0.73,7.08,26.08,2.14,4403659861.0,3889309225.0,0.17,0.0,-16.55,11.84
4467,300474,景嘉微,65.12,-1.82,-1.21,67169.0,441301208.14,2.67,66.8,65.03,66.39,66.33,0.86,1.65,-155.12,4.87,34032963802.0,26468770210.0,-0.09,-0.05,-33.11,-30.3
4468,600128,苏豪弘业,9.73,-1.82,-0.18,85396.0,83652216.0,2.93,9.98,9.69,9.91,9.91,0.6,3.46,177.91,1.13,2401047775.0,2401047775.0,0.0,0.0,0.1,19.83
4469,002192,融捷股份,28.02,-1.82,-0.52,30835.0,86841708.0,2.17,28.6,27.98,28.53,28.54,0.81,1.19,90.79,2.15,7275538788.0,7260548789.0,-0.11,-0.04,-13.57,-12.16
4470,002030,达安基因,5.92,-1.82,-0.11,114558.0,68104352.22,2.32,6.04,5.9,6.03,6.03,0.78,0.82,39.25,1.05,8308400509.0,8308400509.0,0.0,0.17,-8.64,4.23
4471,301059,金三江,10.77,-1.82,-0.2,20991.0,22734544.3,2.64,11.04,10.75,11.0,10.97,0.63,1.02,40.35,4.38,2489528580.0,2226557770.0,0.09,0.0,-0.19,-11.21
4472,603395,红四方,43.23,-1.82,-0.8,18239.0,79747619.0,2.43,44.3,43.23,44.19,44.03,0.91,4.42,102.28,6.15,8646000000.0,1782289509.0,-0.02,-0.12,-8.39,-17.84
4473,300173,福能东方,5.4,-1.82,-0.1,125264.0,68046240.0,2.73,5.53,5.38,5.5,5.5,0.49,1.7,174.97,4.0,3967518769.0,3967518769.0,0.0,-0.18,-27.61,-4.42
4474,603315,福鞍股份,12.36,-1.83,-0.23,64768.0,80702284.0,3.02,12.69,12.31,12.59,12.59,0.86,2.06,37.46,2.33,3960468623.0,3877656623.0,0.0,-0.08,-4.33,15.3
4475,830832,齐鲁华信,8.05,-1.83,-0.15,28682.0,23385790.68,3.78,8.32,8.01,8.19,8.2,0.85,2.34,339.89,1.48,1117049113.0,986286668.0,0.37,0.12,14.51,36.67
4476,002077,大港股份,13.4,-1.83,-0.25,73976.0,99804114.0,2.42,13.73,13.4,13.68,13.65,0.95,1.27,124.35,2.35,7776670074.0,7776670074.0,0.0,0.0,-14.05,-8.66
4477,300206,理邦仪器,11.27,-1.83,-0.21,34311.0,38895734.0,2.96,11.57,11.23,11.51,11.48,0.89,1.01,25.09,3.34,6532805909.0,3813537698.0,0.09,0.09,-11.95,2.73
4478,688066,航天宏图,17.08,-1.84,-0.32,26559.0,45594245.0,3.1,17.55,17.01,17.34,17.4,0.58,1.02,-9.72,5.47,4462618112.0,4462618112.0,0.0,-0.18,-16.4,-16.27
4479,300342,天银机电,15.43,-1.84,-0.29,89040.0,138228641.44,2.8,15.8,15.36,15.62,15.72,0.67,2.13,187.14,4.22,6558291794.0,6445859124.0,0.0,0.06,-15.96,-4.58
4480,002581,未名医药,8.02,-1.84,-0.15,112837.0,90423710.98,3.06,8.17,7.92,8.16,8.17,0.48,2.82,-35.9,2.8,5291079400.0,3214345111.0,0.0,-0.12,-18.66,-24.62
4481,600129,太极集团,20.77,-1.84,-0.39,78506.0,163608056.0,2.13,21.12,20.67,21.09,21.16,0.74,1.41,38.79,3.24,11566620753.0,11566620753.0,0.0,0.05,4.9,-15.98
4482,300321,同大股份,30.39,-1.84,-0.57,17167.0,52439112.0,2.97,31.13,30.21,30.96,30.96,0.39,1.94,233.2,4.29,2698632000.0,2694413868.0,0.1,-0.03,5.52,47.81
4483,002025,航天电器,48.08,-1.84,-0.9,30172.0,145543193.2,2.55,49.15,47.9,49.0,48.98,0.6,0.67,117.94,3.37,21966321908.0,21758694727.0,0.04,-0.1,-9.69,-0.99
4484,603222,济民健康,5.87,-1.84,-0.11,54029.0,31879644.0,2.68,6.01,5.85,5.96,5.98,0.98,1.03,-56.51,2.11,3082281910.0,3082281910.0,-0.17,-0.17,-13.8,-13.55
4485,000635,英 力 特,8.53,-1.84,-0.16,64631.0,55224532.32,2.88,8.71,8.46,8.7,8.69,0.62,2.13,-7.87,2.53,2588741867.0,2585337245.0,0.12,0.35,11.21,9.64
4486,300324,旋极信息,3.72,-1.85,-0.07,443759.0,165942688.0,3.17,3.82,3.7,3.8,3.79,0.76,2.6,-27.17,2.24,6426637013.0,6360705326.0,0.27,0.27,-17.52,12.39
4487,430090,同辉信息,6.38,-1.85,-0.12,60449.0,39295793.8,4.31,6.65,6.37,6.49,6.5,0.86,4.47,-53.22,12.81,1271748023.0,863516412.0,0.0,0.0,-13.43,15.58
4488,837344,三元基因,21.73,-1.85,-0.41,17308.0,37748293.66,2.26,22.11,21.61,21.98,22.14,0.4,1.52,-54.02,4.35,2646931300.0,2467676097.0,-0.05,0.0,-0.55,22.15
4489,300986,志特新材,12.73,-1.85,-0.24,107371.0,137564331.82,3.86,13.14,12.64,12.9,12.97,0.81,2.94,47.21,2.96,4647508729.0,4645516675.0,0.0,0.08,6.97,48.02
4490,002965,祥鑫科技,54.77,-1.85,-1.03,80613.0,446847593.95,3.05,56.37,54.67,55.6,55.8,0.81,5.26,32.54,2.68,11180678680.0,8401785805.0,0.05,0.16,-2.0,60.01
4491,000893,亚钾国际,28.68,-1.85,-0.54,49296.0,142131959.0,1.95,29.22,28.65,29.22,29.22,0.63,0.61,17.23,2.19,26501788043.0,23280131722.0,0.07,0.0,19.0,42.26
4492,002838,道恩股份,18.04,-1.85,-0.34,85870.0,155734076.78,2.88,18.48,17.95,18.11,18.38,0.68,2.04,48.72,2.51,8630307172.0,7588196301.0,0.0,0.11,31.68,53.14
4493,001358,兴欣新材,23.39,-1.85,-0.44,12158.0,28711942.4,2.9,24.03,23.34,24.0,23.83,0.82,2.59,41.18,2.06,2881648000.0,1096920082.0,-0.04,0.21,4.61,7.39
4494,300641,正丹股份,22.78,-1.85,-0.43,99985.0,229341344.5,2.67,23.34,22.72,23.16,23.21,1.04,1.88,7.81,4.0,12134503295.0,12134503295.0,-0.09,0.09,-10.17,-8.29
4495,000518,*ST四环,2.11,-1.86,-0.04,116202.0,24702446.6,2.79,2.16,2.1,2.15,2.15,0.7,1.13,-34.13,6.11,2172363628.0,2172320312.0,-0.47,0.0,-14.57,-16.6
4496,601229,上海银行,10.55,-1.86,-0.2,904830.0,957031883.0,2.7,10.79,10.5,10.76,10.75,1.26,0.64,5.96,0.63,149880748817.0,149880748817.0,0.0,0.09,11.64,15.3
4497,003029,吉大正元,20.0,-1.86,-0.38,29504.0,59243062.72,2.31,20.47,20.0,20.14,20.38,0.66,1.73,-31.49,3.45,3872404540.0,3416850820.0,0.0,-0.05,-20.0,-8.34
4498,920029,XD开发科,96.66,-1.86,-1.83,20107.0,197105002.66,2.96,99.5,96.58,99.4,98.49,0.67,6.32,16.54,4.36,13424785232.0,3073143664.0,-0.24,-0.35,234.7,234.7
4499,600581,八一钢铁,3.17,-1.86,-0.06,138697.0,44020387.0,2.17,3.22,3.15,3.19,3.23,0.82,0.9,-3.3,-17.24,4877651960.0,4859286248.0,0.0,0.0,-8.91,3.26
4500,301348,蓝箭电子,22.13,-1.86,-0.42,24127.0,53805204.33,2.93,22.72,22.06,22.5,22.55,0.78,1.87,-151.78,2.91,4426000000.0,2861024867.0,0.09,-0.05,-14.36,-13.62
4501,002279,久其软件,6.31,-1.87,-0.12,192035.0,121795471.6,2.8,6.47,6.29,6.43,6.43,0.78,2.43,-11.77,4.2,5455923838.0,4983179572.0,-0.16,0.0,-16.42,0.64
4502,603068,博通集成,31.51,-1.87,-0.6,66404.0,211719532.0,4.61,32.8,31.32,32.39,32.11,0.69,4.41,71.85,2.8,4739890679.0,4739890679.0,0.0,0.1,-16.73,13.96
4503,001277,速达股份,37.87,-1.87,-0.72,9743.0,37237959.2,3.01,38.97,37.81,38.5,38.59,0.31,5.13,65.31,1.94,2878120000.0,719530000.0,0.03,-0.24,0.77,-4.32
4504,835985,海泰新能,9.97,-1.87,-0.19,37713.0,37848730.62,3.74,10.27,9.89,10.19,10.16,0.86,1.79,-30.17,2.21,3085477714.0,2100896934.0,0.1,0.0,-19.4,-0.3
4505,001283,豪鹏科技,52.56,-1.87,-1.0,11013.0,58280612.0,2.74,53.83,52.36,53.5,53.56,0.55,1.9,33.29,1.99,4236862178.0,3040896696.0,0.0,0.19,-17.49,-9.21
4506,836247,华密新材,25.61,-1.88,-0.49,34193.0,89938987.68,4.87,26.88,25.61,26.39,26.1,0.63,3.89,82.21,6.96,3103620070.0,2250432703.0,-0.16,-0.27,-4.94,23.3
4507,300654,世纪天鸿,9.94,-1.88,-0.19,59927.0,59754318.4,2.86,10.18,9.89,10.18,10.13,0.75,1.7,173.51,4.37,3639281029.0,3505323943.0,0.0,0.0,-13.41,-1.0
4508,601908,京运通,3.13,-1.88,-0.06,949432.0,298857254.0,3.45,3.22,3.11,3.18,3.19,0.59,3.93,-20.67,0.85,7557706955.0,7557706955.0,0.0,0.32,11.79,2.62
4509,600620,天宸股份,5.21,-1.88,-0.1,59137.0,30953935.0,2.82,5.32,5.17,5.28,5.31,1.19,0.86,270.19,2.42,3577587759.0,3577587759.0,-0.19,0.0,-2.25,-8.92
4510,839729,永顺生物,9.39,-1.88,-0.18,32422.0,30616649.41,3.66,9.66,9.31,9.62,9.57,0.52,4.22,81.06,3.83,2566756500.0,721387135.0,0.0,0.11,21.79,41.63
4511,002354,天娱数科,6.27,-1.88,-0.12,836762.0,523423715.31,3.29,6.41,6.2,6.35,6.39,0.88,5.16,494.8,8.46,10374253091.0,10165593297.0,0.0,0.16,-20.43,16.76
4512,000712,锦龙股份,12.0,-1.88,-0.23,181556.0,219555734.24,3.03,12.32,11.95,12.28,12.23,0.86,2.03,-28.08,4.75,10752000000.0,10748809500.0,0.08,0.08,-14.35,-20.63
4513,603210,泰鸿万立,20.38,-1.88,-0.39,40207.0,82675067.0,2.46,20.84,20.33,20.82,20.77,0.71,5.46,39.31,4.02,6937352000.0,1499714595.0,0.0,-0.1,136.98,136.98
4514,603768,常青股份,13.6,-1.88,-0.26,191491.0,260632182.0,3.54,13.9,13.41,13.73,13.86,1.1,8.05,131.93,1.33,3236199655.0,3236199655.0,0.0,0.22,2.49,13.14
4515,300858,科拓生物,17.26,-1.88,-0.33,424978.0,767343657.99,10.74,18.97,17.08,18.0,17.59,4.12,22.42,55.93,2.51,4547925737.0,3271692616.0,-0.23,-0.23,31.86,20.03
4516,300733,西菱动力,16.71,-1.88,-0.32,34978.0,58972401.0,2.82,17.13,16.65,17.02,17.03,0.58,1.55,60.8,3.1,5107850639.0,3768402154.0,0.12,-0.12,5.69,43.19
4517,300549,优德精密,17.61,-1.89,-0.34,22975.0,40890247.0,4.01,18.22,17.5,18.08,17.95,0.88,2.27,180.94,4.3,2348117400.0,1779572827.0,0.0,-0.11,-9.27,7.51
4518,600252,中恒集团,2.6,-1.89,-0.05,586800.0,153472055.0,3.4,2.67,2.58,2.65,2.65,0.92,1.78,117.9,1.44,8614698474.0,8585928694.0,-0.38,0.0,5.69,5.69
4519,600540,新赛股份,4.67,-1.89,-0.09,171947.0,80372887.0,2.1,4.74,4.64,4.72,4.76,0.79,2.96,37.31,5.39,2715030403.0,2715030403.0,0.0,-0.21,16.75,18.53
4520,600503,华丽家族,2.59,-1.89,-0.05,293980.0,76239019.0,2.65,2.64,2.57,2.64,2.64,0.73,1.83,769.18,1.16,4149931100.0,4149931100.0,0.0,0.0,-11.0,-0.38
4521,300057,万顺新材,4.68,-1.89,-0.09,118224.0,55666411.16,2.94,4.8,4.66,4.77,4.77,0.96,1.65,-156.66,0.8,4162617562.0,3354870739.0,-0.21,0.0,-15.68,-2.7
4522,300316,晶盛机电,26.96,-1.89,-0.52,70421.0,190858093.49,3.89,27.67,26.6,27.5,27.48,0.86,0.57,15.41,2.12,35305031167.0,33202734474.0,0.0,0.15,-18.48,-14.41
4523,603867,新化股份,23.85,-1.89,-0.46,22778.0,54576141.0,2.47,24.42,23.82,24.35,24.31,0.92,1.18,16.06,1.9,4597659638.0,4597659638.0,-0.04,-0.04,-2.53,-2.17
4524,688129,东来技术,23.42,-1.89,-0.45,9166.0,21505101.0,3.02,23.93,23.21,23.83,23.87,0.7,0.76,33.18,3.19,2821613496.0,2821613496.0,0.17,0.17,23.33,38.74
4525,603970,中农立华,14.51,-1.89,-0.28,125843.0,183071499.0,4.26,14.94,14.31,14.71,14.79,0.83,4.68,18.08,2.48,3900289944.0,3900289944.0,-0.07,0.21,5.3,2.18
4526,002397,梦洁股份,3.62,-1.9,-0.07,145071.0,52738162.0,2.98,3.7,3.59,3.68,3.69,0.81,2.37,67.43,2.27,2706968824.0,2217747703.0,0.28,0.28,-5.73,23.13
4527,688611,杭州柯林,30.0,-1.9,-0.58,24322.0,73163156.0,3.56,30.88,29.79,30.88,30.58,1.24,1.59,244.74,5.27,4601688000.0,4601688000.0,0.47,0.27,-22.08,26.37
4528,688665,四方光电,42.41,-1.9,-0.82,17518.0,74972174.0,3.84,43.82,42.16,43.48,43.23,0.83,1.75,32.4,3.99,4245241000.0,4245241000.0,-0.21,-0.19,0.59,30.13
4529,301365,矩阵股份,15.94,-1.91,-0.31,21874.0,35100505.0,3.45,16.47,15.91,16.3,16.25,0.8,4.72,185.87,1.68,2869200000.0,738819000.0,-0.13,-0.13,3.17,8.58
4530,838030,德众汽车,7.7,-1.91,-0.15,101357.0,79108884.72,5.35,8.05,7.63,7.7,7.85,0.89,8.93,228.12,2.98,1377065544.0,873750116.0,0.13,0.13,10.63,36.04
4531,300290,荣科科技,16.99,-1.91,-0.33,169245.0,289557675.08,3.81,17.54,16.88,17.25,17.32,0.7,2.65,-105.67,13.66,10869056347.0,10860381253.0,-0.06,0.0,-23.09,-16.51
4532,605108,同庆楼,21.06,-1.91,-0.41,25324.0,53701965.0,2.47,21.57,21.04,21.41,21.47,0.78,0.97,26.42,2.39,5475600000.0,5475600000.0,0.0,-0.05,-5.26,-14.08
4533,301193,家联科技,14.92,-1.91,-0.29,9585.0,14407434.0,3.09,15.34,14.87,15.22,15.21,0.73,1.0,-28.7,1.9,2864785619.0,1436046419.0,-0.47,-0.33,-23.05,-9.74
4534,601777,千里科技,8.2,-1.91,-0.16,253963.0,210297548.0,3.35,8.43,8.15,8.38,8.36,0.82,0.56,462.38,3.5,37073020582.0,37073020582.0,0.24,0.37,-20.39,7.19
4535,688327,云从科技-UW,12.32,-1.91,-0.24,147078.0,182636757.0,3.34,12.71,12.29,12.58,12.56,0.77,1.76,-25.81,12.27,12794917766.0,10267993613.0,0.08,0.08,-48.32,1.82
4536,688114,华大智造,71.29,-1.91,-1.39,10849.0,77974328.0,1.98,72.7,71.26,72.7,72.68,0.54,0.51,-55.68,3.84,29693436690.0,15179957141.0,0.0,-0.17,-8.94,52.36
4537,300229,拓尔思,16.99,-1.91,-0.33,233286.0,398662929.64,3.06,17.46,16.93,17.39,17.32,0.77,2.67,-161.83,3.62,14842819635.0,14832783659.0,0.0,-0.06,-39.88,-18.86
4538,600787,中储股份,5.64,-1.91,-0.11,600609.0,341353992.0,2.61,5.77,5.62,5.75,5.75,2.23,2.77,47.61,0.9,12266732551.0,12239248842.0,0.0,0.18,-6.47,-11.6
4539,835670,数字人,14.88,-1.91,-0.29,20182.0,30227919.44,3.36,15.36,14.85,15.19,15.17,0.47,3.03,-147.63,6.62,1579994112.0,991728504.0,0.07,-0.07,-22.38,-3.44
