序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,300740,水羊股份,16.91,20.01,2.82,637574.0,996807233.77,17.32,16.91,14.47,14.47,14.09,2.48,17.84,39.2,3.21,6566804475.0,6042792829.0,0.0,0.0,37.37,27.91
2,300997,欢乐家,20.87,20.01,3.48,319271.0,606100755.92,23.12,20.87,16.85,17.32,17.39,1.8,8.27,66.64,8.77,9130071423.0,8055971433.0,0.0,0.0,37.3,37.66
3,300422,博世科,5.76,20.0,0.96,886747.0,495615654.94,16.04,5.76,4.99,4.99,4.8,7.72,17.17,-73.66,2.36,3075151041.0,2975272428.0,0.0,0.0,34.27,32.41
4,300804,广康生化,34.38,20.0,5.73,115283.0,379233038.67,12.5,34.38,30.8,31.5,28.65,5.32,41.92,37.17,1.9,2544120000.0,945450000.0,0.0,0.0,41.95,52.39
5,300815,玉禾田,22.32,20.0,3.72,544344.0,1185493049.0,17.8,22.32,19.01,19.01,18.6,3.57,14.07,13.79,2.15,8896573440.0,8634233802.0,0.0,0.0,36.43,43.17
6,873576,天力复合,42.31,16.78,6.08,117177.0,485299869.35,27.85,45.55,35.46,35.8,36.23,2.22,10.94,122.13,10.09,4609674500.0,4532667634.0,0.02,0.19,71.36,103.81
7,300130,新国都,24.62,16.3,3.45,984209.0,2320255329.63,16.86,25.2,21.63,21.63,21.17,8.2,22.66,22.32,3.2,13966904408.0,10691122560.0,0.0,-0.28,10.45,13.67
8,688211,中科微至,34.97,15.45,4.68,60256.0,206386922.0,14.86,35.5,31.0,31.0,30.29,4.44,4.58,-43.69,1.31,4602356169.0,4602356169.0,1.1,0.6,8.64,19.56
9,301082,久盛电气,22.66,13.13,2.63,644483.0,1445887957.73,21.17,24.04,19.8,20.1,20.03,1.66,30.8,-193.68,5.04,5128165883.0,4741186039.0,0.09,0.53,51.17,69.99
10,831370,新安洁,5.25,12.42,0.58,630421.0,350223553.2,20.13,5.98,5.04,5.2,4.67,4.6,23.56,-46.07,2.51,1607970000.0,1404685112.0,0.19,1.74,33.25,53.96
11,300857,协创数据,79.7,11.81,8.42,229627.0,1788075483.11,12.09,81.62,73.0,74.7,71.28,4.47,6.71,40.43,8.22,27365569159.0,27287993164.0,-0.1,-0.13,-1.99,4.68
12,688455,科捷智能,19.3,11.69,2.02,290884.0,549338059.0,20.66,20.74,17.17,18.98,17.28,3.51,22.4,-20.08,3.77,3490388923.0,2506088923.0,1.31,1.26,59.5,76.09
13,300703,创源股份,22.2,11.0,2.2,622359.0,1262287101.24,25.65,23.88,18.75,20.02,20.0,1.62,36.68,48.83,4.55,4004698848.0,3766487143.0,0.0,1.79,51.43,57.22
14,000826,启迪环境,2.07,10.11,0.19,619013.0,126517221.46,9.57,2.07,1.89,1.89,1.88,1.72,4.34,-5.56,4.28,2950481223.0,2950108025.0,0.0,0.0,4.02,3.5
15,000539,粤电力Ａ,4.79,10.11,0.44,1577676.0,742639436.99,7.36,4.79,4.47,4.47,4.35,9.43,6.18,-16.42,1.11,25148860293.0,12233164949.0,0.0,0.0,5.97,5.74
16,600805,悦达投资,5.34,10.1,0.49,709146.0,371881036.0,10.31,5.34,4.84,4.84,4.85,1.82,8.34,71.77,1.04,4543776598.0,4540470465.0,0.0,0.0,16.85,20.54
17,002177,御银股份,5.24,10.08,0.48,1457564.0,747852523.5,11.34,5.24,4.7,4.76,4.76,1.98,21.78,151.74,2.34,3988642381.0,3506660997.0,0.0,0.0,4.17,16.44
18,600495,晋西车轴,5.25,10.06,0.48,1572859.0,799017565.0,10.48,5.25,4.75,4.76,4.77,0.91,13.02,202.81,1.94,6343002152.0,6343002152.0,0.0,0.0,32.91,38.16
19,605167,利柏特,11.73,10.04,1.07,303623.0,344323610.0,10.88,11.73,10.57,10.58,10.66,0.95,6.76,36.72,2.81,5267591100.0,5267591100.0,0.0,0.0,25.32,21.68
20,002342,巨力索具,5.59,10.04,0.51,1429266.0,768270859.37,9.65,5.59,5.1,5.1,5.08,1.87,14.97,224.12,2.21,5366400000.0,5336717100.0,0.0,0.0,73.07,73.07
21,603506,南都物业,12.17,10.04,1.11,129107.0,152311287.0,7.23,12.17,11.37,11.4,11.06,4.01,6.88,19.38,2.04,2285255570.0,2285255570.0,0.0,0.0,24.82,43.01
22,002574,明牌珠宝,7.45,10.04,0.68,1164074.0,812850526.7,11.23,7.45,6.69,6.8,6.77,1.65,22.05,-25.86,1.28,3933600000.0,3933600000.0,0.0,0.0,54.89,61.61
23,002946,新乳业,19.97,10.03,1.82,202045.0,395143616.11,8.26,19.97,18.47,18.59,18.15,2.57,2.38,32.25,5.42,17187658103.0,16988592889.0,0.0,0.0,35.12,37.91
24,002867,周大生,16.34,10.03,1.49,288643.0,459152344.59,10.98,16.34,14.71,14.77,14.85,3.24,2.65,17.76,2.71,17907435170.0,17803233536.0,0.0,0.0,26.37,12.46
25,002347,泰尔股份,8.56,10.03,0.78,773159.0,638253905.8,11.57,8.56,7.66,7.78,7.78,1.08,15.67,-116.86,3.6,4320251483.0,4223357633.0,0.0,0.0,-4.57,27.0
26,603518,锦泓集团,9.99,10.02,0.91,657253.0,652314303.0,4.07,9.99,9.62,9.89,9.08,4.28,19.1,9.73,0.96,3463392980.0,3437088811.0,0.0,0.0,14.56,5.27
27,603076,乐惠国际,30.31,10.02,2.76,117632.0,343441839.0,12.74,30.31,26.8,27.0,27.55,2.53,9.75,102.33,2.88,3658457737.0,3658457737.0,0.0,0.0,28.16,31.55
28,605188,国光连锁,14.06,10.02,1.28,381093.0,515024396.0,10.95,14.06,12.66,12.66,12.78,1.47,7.69,80.09,6.12,6967854800.0,6967854800.0,0.0,0.0,93.66,84.03
29,601579,会稽山,25.81,10.02,2.35,575658.0,1465495337.0,4.82,25.81,24.68,25.81,23.46,2.07,12.01,33.0,3.42,12374950586.0,12374950586.0,0.0,0.0,152.54,133.36
30,603680,今创集团,10.87,10.02,0.99,126449.0,131940438.0,10.12,10.87,9.87,9.9,9.88,3.78,1.61,14.26,1.56,8519022997.0,8519022997.0,0.0,0.0,27.28,30.96
31,000903,云内动力,5.05,10.02,0.46,269353.0,136023153.9,0.0,5.05,5.05,5.05,4.59,0.13,1.4,-100.05,6.1,9846334324.0,9697321322.0,0.0,0.0,36.12,46.8
32,002277,友阿股份,6.59,10.02,0.6,707385.0,463699163.0,4.34,6.59,6.33,6.58,5.99,0.47,5.07,62.71,1.37,9187598752.0,9187598752.0,0.0,0.0,7.86,12.65
33,600192,长城电工,8.9,10.01,0.81,523850.0,448618521.0,11.37,8.9,7.98,8.0,8.09,3.34,11.86,-24.62,3.45,3931557200.0,3931557200.0,0.0,0.0,25.0,54.25
34,600612,老凤祥,54.31,10.01,4.94,92410.0,487745895.0,10.69,54.31,49.03,49.03,49.37,4.89,2.91,11.59,2.17,28410525763.0,17222224005.0,0.0,0.0,6.2,0.07
35,605388,均瑶健康,8.46,10.01,0.77,43248.0,36587706.0,0.0,8.46,8.46,8.46,7.69,0.54,0.72,116.44,2.86,5080094640.0,5080094640.0,0.0,0.0,29.56,34.5
36,603011,合锻智能,17.81,10.01,1.62,1561787.0,2657549014.0,15.94,17.81,15.23,15.6,16.19,1.27,31.59,297.79,4.08,8805521123.0,8805521123.0,0.0,1.77,122.35,160.0
37,002829,星网宇达,21.54,10.01,1.96,111695.0,238648262.68,4.8,21.54,20.6,20.6,19.58,0.78,7.65,-95.25,2.68,4476214347.0,3146183321.0,0.0,0.0,6.06,13.61
38,603693,江苏新能,15.27,10.01,1.39,91939.0,140390517.0,0.0,15.27,15.27,15.27,13.88,0.3,1.03,20.79,1.98,13612836688.0,13612836688.0,0.0,0.0,55.98,55.03
39,603577,汇金通,11.32,10.01,1.03,692866.0,774755179.0,7.87,11.32,10.51,11.32,10.29,6.91,20.43,64.18,2.05,3839054612.0,3839054612.0,0.0,0.0,35.89,43.29
40,002278,神开股份,8.91,10.0,0.81,809640.0,697633713.25,10.49,8.91,8.06,8.06,8.1,2.75,24.23,43.91,2.84,3242434964.0,2977780102.0,0.0,0.0,57.7,67.17
41,605033,美邦股份,23.44,10.0,2.13,239766.0,552303547.0,5.58,23.44,22.25,23.0,21.31,1.61,17.73,26.45,2.74,3169088000.0,3169088000.0,0.0,0.0,19.65,94.85
42,002365,永安药业,24.63,10.0,2.24,851628.0,2051686032.42,6.88,24.63,23.09,23.09,22.39,1.03,34.68,-415.49,3.68,7258029975.0,6048145288.0,0.0,0.0,196.03,208.26
43,603639,海利尔,16.28,10.0,1.48,377268.0,612527728.0,2.64,16.28,15.89,16.28,14.8,10.84,11.1,13.18,1.57,5533544910.0,5533219310.0,0.0,0.0,31.29,31.29
44,002366,融发核电,7.49,9.99,0.68,4006899.0,2966874912.06,4.55,7.49,7.18,7.34,6.81,4.29,31.89,1251.74,3.36,15586222924.0,9410918281.0,0.0,0.0,55.39,63.18
45,605005,合兴股份,17.73,9.99,1.61,71695.0,126240719.0,10.48,17.73,16.04,16.17,16.12,7.53,1.79,34.18,3.54,7109730000.0,7109730000.0,0.0,0.0,5.79,8.77
46,002250,联化科技,7.6,9.99,0.69,1388164.0,1049184040.21,4.05,7.6,7.32,7.6,6.91,4.34,15.31,34.83,1.08,6926131689.0,6889659586.0,0.0,0.0,10.63,37.93
47,002998,优彩资源,7.93,9.99,0.72,278764.0,214147763.74,9.99,7.93,7.21,7.21,7.21,5.08,11.45,41.74,1.57,2588410753.0,1930482642.0,0.0,0.0,22.76,28.53
48,603390,通达电气,15.96,9.99,1.45,95736.0,152794640.0,0.0,15.96,15.96,15.96,14.51,0.17,2.74,74.89,3.52,5612684865.0,5582094029.0,0.0,0.0,47.91,45.36
49,001230,劲旅环境,23.23,9.99,2.11,16357.0,37997659.45,0.0,23.23,23.23,23.23,21.12,0.67,3.02,20.0,1.64,3101114333.0,1256225296.0,0.0,0.0,26.39,40.11
50,605599,菜百股份,16.74,9.99,1.52,158915.0,253994001.0,11.63,16.74,14.97,15.03,15.22,2.27,2.04,10.18,2.99,13020000372.0,13020000372.0,0.0,0.0,45.82,47.49
51,002973,侨银股份,13.45,9.98,1.22,65381.0,86906804.0,7.77,13.45,12.5,12.5,12.23,1.11,2.93,20.33,2.22,5496551822.0,2997991416.0,0.0,0.0,0.6,27.13
52,605303,园林股份,11.02,9.98,1.0,101179.0,108854546.0,10.28,11.02,9.99,9.99,10.02,3.83,6.28,-28.25,1.76,1776836236.0,1776836236.0,0.0,0.0,29.8,45.38
53,002639,雪人股份,11.35,9.98,1.03,3381946.0,3749974432.9,9.59,11.35,10.36,10.36,10.32,1.87,51.98,220.1,3.53,8769034720.0,7384103498.0,0.0,0.0,45.14,65.69
54,603056,德邦股份,17.19,9.98,1.56,336454.0,577546224.0,1.98,17.19,16.88,17.19,15.63,1.54,3.3,-64.1,2.09,17530626520.0,17530626520.0,0.0,0.0,20.38,19.96
55,002427,尤夫股份,10.69,9.98,0.97,2112884.0,2232734592.03,6.28,10.69,10.08,10.08,9.72,1.53,21.46,499.36,11.28,10534276386.0,10527050844.0,0.0,0.0,176.23,207.18
56,002907,华森制药,17.09,9.97,1.55,368813.0,600824675.53,8.24,17.09,15.81,17.0,15.54,4.04,11.94,44.21,4.25,7136721006.0,5278897714.0,0.0,0.0,34.89,31.46
57,000695,滨海能源,15.0,9.97,1.36,672706.0,894264428.9,19.57,15.0,12.33,13.0,13.64,1.99,30.34,-84.58,22.67,3332213085.0,3325805460.0,0.0,0.0,27.44,44.93
58,601086,国芳集团,14.34,9.97,1.3,754690.0,1041488132.0,13.27,14.34,12.61,12.7,13.04,1.25,11.33,157.41,6.0,9550440000.0,9550440000.0,0.0,0.0,185.09,144.29
59,603006,联明股份,13.57,9.97,1.23,127538.0,171073186.0,10.21,13.57,12.31,12.31,12.34,1.19,5.02,81.72,2.55,3450230173.0,3450230173.0,0.0,0.0,15.88,30.11
60,603366,日出东方,10.6,9.96,0.96,752943.0,775687183.0,9.85,10.6,9.65,9.65,9.64,2.03,9.26,-46.06,2.09,8618309871.0,8618309871.0,0.0,0.0,-13.26,-9.48
61,603333,尚纬股份,9.05,9.96,0.82,1646507.0,1464562240.0,9.48,9.05,8.27,9.05,8.23,17.39,26.49,-97.02,2.71,5624824653.0,5624824653.0,0.0,0.0,78.15,62.48
62,603839,安正时尚,8.17,9.96,0.74,180405.0,142823404.0,12.11,8.17,7.27,7.28,7.43,0.76,4.59,34.84,1.7,3212055925.0,3212055925.0,0.0,0.0,46.42,48.01
63,600678,四川金顶,8.5,9.96,0.77,541983.0,456030785.0,9.7,8.5,7.75,7.75,7.73,2.94,15.53,41.13,11.72,2966415000.0,2966415000.0,0.0,0.0,4.55,29.97
64,002550,千红制药,7.07,9.95,0.64,848141.0,579222516.39,10.73,7.07,6.38,6.43,6.43,1.51,8.86,14.05,3.58,9048186000.0,6771218831.0,0.0,0.0,29.25,14.03
65,002566,益盛药业,8.29,9.95,0.75,311296.0,251328228.13,11.14,8.29,7.45,7.51,7.54,4.39,13.43,57.83,1.24,2743588764.0,1921542980.0,0.0,0.0,21.91,23.36
66,688136,科兴制药,46.8,9.73,4.15,67134.0,309436758.0,10.79,48.0,43.4,43.72,42.65,1.71,3.36,91.32,5.61,9343257300.0,9343257300.0,0.04,0.02,123.28,114.09
67,300067,安诺其,5.76,9.71,0.51,2037728.0,1174512397.91,14.86,6.06,5.28,5.28,5.25,4.83,21.74,-176.1,2.62,6649197546.0,5399906003.0,0.0,-0.35,-8.57,-6.65
68,301225,恒勃股份,64.0,9.48,5.54,78880.0,488909600.99,16.87,66.66,56.8,59.04,58.46,1.57,26.14,50.03,4.41,6616320000.0,1931520000.0,-0.05,0.27,111.85,141.15
69,000678,襄阳轴承,17.48,9.25,1.48,1398187.0,2373084774.77,11.25,17.6,15.8,15.81,16.0,1.77,30.42,-147.38,10.28,8034014212.0,8034014212.0,0.06,0.98,121.27,168.51
70,300532,今天国际,12.7,9.01,1.05,467352.0,602080140.54,12.1,13.48,12.07,12.09,11.65,6.66,10.85,20.59,3.27,5757215892.0,5472672773.0,0.0,0.24,-7.97,11.21
71,300575,中旗股份,7.74,8.71,0.62,1564755.0,1242106156.12,16.85,8.49,7.29,8.01,7.12,7.27,45.66,-26.37,1.74,3597214536.0,2652561592.0,0.13,0.65,26.68,28.57
72,837748,路桥信息,29.53,8.61,2.34,50077.0,144086499.91,9.64,29.89,27.27,27.43,27.19,1.96,8.03,-86.32,7.21,2266132200.0,1841123890.0,-0.03,0.1,18.36,51.28
73,300191,潜能恒信,17.32,8.59,1.37,169753.0,286531658.87,11.22,17.6,15.81,15.95,15.95,3.43,7.67,290.37,5.11,5542400000.0,3831097400.0,-0.17,0.23,28.01,35.31
74,300798,锦鸡股份,7.59,8.43,0.59,641230.0,475155100.33,9.43,7.66,7.0,7.01,7.0,3.62,17.2,-124.57,2.1,3558389029.0,2829386880.0,0.0,0.0,9.21,6.15
75,300506,ST名家汇,4.12,8.14,0.31,255761.0,103437784.63,10.24,4.19,3.8,3.86,3.81,2.38,4.44,-43.06,35.91,2865857864.0,2371988854.0,0.0,0.49,33.77,27.95
76,688121,卓然股份,13.49,8.09,1.01,207881.0,274480791.0,11.22,13.66,12.26,12.26,12.48,3.56,14.68,-94.61,1.24,3151452900.0,1909896218.0,-0.3,0.0,13.17,25.26
77,301529,福赛科技,35.85,8.05,2.67,83670.0,290899615.09,9.89,36.03,32.75,32.89,33.18,3.09,18.5,27.19,2.46,3041413979.0,1621800584.0,-0.11,-0.14,15.05,24.65
78,603611,诺力股份,22.91,7.91,1.68,429432.0,971675152.0,8.24,23.35,21.6,21.6,21.23,3.24,16.67,12.02,2.07,5901634122.0,5901634122.0,0.09,-0.13,17.07,27.63
79,300836,佰奥智能,39.35,7.87,2.87,44297.0,168178009.33,8.36,39.35,36.3,36.66,36.48,2.29,7.01,97.26,6.98,3647178754.0,2487307086.0,0.38,0.64,16.9,36.49
80,688799,华纳药厂,51.88,7.81,3.76,61654.0,314484810.0,10.91,53.2,47.95,47.99,48.12,1.24,6.57,29.52,2.71,4866344000.0,4866344000.0,-0.08,-0.1,28.89,23.88
81,688205,德科立,74.47,7.58,5.25,64326.0,470324579.0,9.17,75.57,69.22,69.94,69.22,1.06,9.48,154.81,4.05,9002888678.0,5053146435.0,-0.04,-0.11,-8.05,-18.16
82,002103,广博股份,12.38,7.56,0.87,1399231.0,1663720707.58,12.68,12.66,11.2,11.76,11.51,1.52,37.11,55.28,6.13,6614299158.0,4668190827.0,-0.24,0.9,15.38,31.01
83,300029,*ST天龙,5.61,7.47,0.39,82270.0,44804759.86,8.24,5.68,5.25,5.28,5.22,2.68,4.11,-44.85,-121.91,1124841465.0,1124021003.0,0.18,0.36,14.26,12.42
84,300055,万邦达,5.73,7.3,0.39,520684.0,297594134.54,11.24,5.98,5.38,5.41,5.34,4.75,8.23,61.1,0.93,4794575242.0,3625377555.0,0.35,0.88,9.77,19.62
85,688496,清越科技,8.05,7.19,0.54,129829.0,102674858.0,8.79,8.18,7.52,7.52,7.51,3.86,5.46,-56.64,3.59,3622500000.0,1915462080.0,-0.25,-0.49,-14.0,-6.07
86,830879,基康仪器,17.89,7.19,1.2,89614.0,161054760.33,13.3,18.74,16.52,16.59,16.69,2.8,6.65,38.17,5.14,2987027662.0,2412323344.0,0.39,-0.39,53.17,86.35
87,603322,超讯通信,37.15,7.09,2.46,168683.0,611399283.0,9.46,37.78,34.5,34.5,34.69,1.5,10.7,29.23,21.04,5854349471.0,5854349471.0,0.03,0.03,-28.23,-2.24
88,000881,中广核技,8.47,7.08,0.56,1016819.0,839248141.89,12.26,8.7,7.73,7.89,7.91,2.71,12.87,-30.78,1.55,8007756653.0,6694213943.0,0.0,-0.24,17.64,15.55
89,600105,永鼎股份,8.83,7.03,0.58,3007855.0,2605445413.0,9.09,8.95,8.2,8.2,8.25,1.29,20.57,11.14,3.91,12909414102.0,12909414102.0,0.0,1.61,53.83,78.02
90,301606,绿联科技,52.1,7.03,3.42,61651.0,316679670.78,7.15,52.68,49.2,49.2,48.68,0.96,18.57,35.96,7.7,21616800893.0,1729819824.0,0.12,0.48,18.33,40.05
91,301079,邵阳液压,30.43,7.03,2.0,307267.0,931561592.1,18.89,33.26,27.89,28.05,28.43,2.04,44.16,1025.24,6.91,3327160178.0,2117555963.0,0.1,0.16,73.89,99.67
92,002468,申通快递,11.06,6.96,0.72,555389.0,608873460.94,8.12,11.3,10.46,10.46,10.34,4.81,3.72,17.93,1.74,16930671956.0,16502024966.0,0.0,0.0,-1.16,9.18
93,301186,超达装备,43.06,6.95,2.8,35128.0,148850136.06,7.55,43.73,40.69,40.75,40.26,3.37,4.72,34.36,2.27,3426267019.0,3201911759.0,0.0,0.0,-2.0,7.95
94,300771,智莱科技,13.57,6.93,0.88,625591.0,843563436.73,14.26,14.66,12.85,13.42,12.69,1.5,34.53,120.05,1.7,3256800000.0,2458872303.0,0.0,-0.22,19.14,30.86
95,603223,恒通股份,10.53,6.9,0.68,156633.0,161063109.0,7.21,10.55,9.84,9.91,9.85,1.3,2.83,44.19,1.98,7520389594.0,5825094912.0,0.1,0.1,14.83,0.96
96,870436,大地电气,25.93,6.8,1.65,122051.0,334263803.61,15.49,29.26,25.5,27.5,24.28,1.32,13.73,-69.74,6.4,2449762680.0,2304351155.0,0.0,-0.84,35.19,54.16
97,301228,实朴检测,25.8,6.74,1.63,88569.0,225862518.0,7.9,26.33,24.42,24.43,24.17,1.86,7.4,-95.72,4.34,3096000000.0,3089653200.0,0.31,0.74,39.16,95.01
98,603825,华扬联众,13.37,6.7,0.84,265307.0,349157620.0,8.46,13.61,12.55,12.62,12.53,2.89,10.47,-15.22,9.12,3387109700.0,3387109700.0,-0.07,0.15,-4.7,-11.4
99,300976,达瑞电子,62.33,6.66,3.89,36373.0,221506214.92,9.82,63.85,58.11,58.71,58.44,1.28,5.94,25.98,1.75,5944854643.0,3814200703.0,-0.03,0.1,-12.04,-7.93
100,300671,富满微,32.59,6.64,2.03,162666.0,525494179.8,14.33,34.51,30.13,30.6,30.56,1.69,7.49,-70.81,4.41,7095640575.0,7076482055.0,0.0,0.03,-11.87,-8.3
101,002345,潮宏基,13.65,6.64,0.85,625474.0,816559967.99,12.81,13.99,12.35,12.4,12.8,1.03,7.21,16.05,3.47,12128198451.0,11834609582.0,0.89,1.56,96.97,134.94
102,605288,凯迪股份,56.7,6.52,3.47,25672.0,144943990.0,8.25,57.6,53.21,53.21,53.23,1.24,3.66,57.52,1.78,3980278310.0,3980278310.0,-0.05,-0.25,41.61,66.91
103,688377,迪威尔,21.15,6.5,1.29,30117.0,61878723.0,6.7,21.15,19.82,19.9,19.86,3.29,1.55,48.89,2.26,4117207050.0,4117207050.0,0.05,0.28,9.59,9.7
104,300890,翔丰华,28.23,6.45,1.71,181426.0,517388246.43,15.31,30.5,26.44,26.52,26.52,2.37,16.71,-103.06,1.66,3360276635.0,3065586911.0,0.0,-0.07,-19.32,-6.71
105,002731,萃华珠宝,12.39,6.44,0.75,468083.0,569640592.0,12.63,12.8,11.33,11.56,11.64,1.48,20.38,9.23,1.76,3173772840.0,2845442796.0,0.16,-0.16,32.8,31.95
106,300205,*ST天喻,4.14,6.43,0.25,113596.0,45898683.22,7.71,4.16,3.86,3.9,3.89,0.89,2.64,-11.08,1.67,1780431840.0,1780431840.0,0.0,0.24,-7.8,-5.05
107,688155,先惠技术,42.08,6.4,2.53,53388.0,220972978.0,8.57,42.69,39.3,39.37,39.55,2.94,4.27,22.57,2.66,5262114268.0,5262114268.0,-0.02,0.21,-9.11,11.8
108,300546,雄帝科技,18.4,6.36,1.1,290124.0,537457922.0,17.98,20.12,17.01,17.15,17.3,2.71,21.63,-81.95,3.16,3434041514.0,2468419524.0,0.0,-0.11,-11.71,9.39
109,605499,东鹏饮料,311.47,6.3,18.47,34948.0,1069623896.0,7.32,313.3,291.84,293.18,293.0,1.83,0.67,41.32,22.01,161968449110.0,161968449110.0,-0.1,-0.09,47.35,26.6
110,301013,利和兴,19.8,6.28,1.17,305209.0,590269937.62,9.88,20.25,18.41,18.76,18.63,1.85,16.13,-237.37,5.52,4628112509.0,3746984432.0,-0.05,-0.1,2.75,68.51
111,603332,苏州龙杰,21.0,6.22,1.23,675118.0,1349841137.0,18.77,21.5,17.79,20.0,19.77,1.72,31.21,86.59,3.55,4543290864.0,4543290864.0,0.0,-0.47,122.22,143.9
112,300243,瑞丰高材,10.16,6.17,0.59,213838.0,217135085.24,10.55,10.72,9.71,9.77,9.57,7.56,10.99,120.39,2.38,2544332387.0,1976254102.0,0.1,0.49,-3.97,6.72
113,920002,万达轴承,201.77,6.17,11.72,13935.0,278831946.31,11.41,210.88,189.2,191.36,190.05,1.68,24.23,88.47,9.4,6557952752.0,1160177500.0,-0.11,-0.26,-17.66,200.12
114,301196,唯科科技,60.88,6.14,3.52,59812.0,354434329.72,7.04,61.12,57.08,57.68,57.36,2.16,8.89,24.54,2.37,7597824000.0,4095232493.0,0.0,0.12,7.89,85.21
115,688321,微芯生物,18.24,6.11,1.05,123423.0,221511672.0,7.68,18.43,17.11,17.2,17.19,2.94,3.03,-97.08,5.17,7438207740.0,7438207740.0,0.0,-0.05,-6.17,-1.83
116,000533,顺钠股份,7.14,6.09,0.41,1083853.0,754399571.06,11.0,7.3,6.56,6.67,6.73,1.54,15.82,63.22,5.55,4932426240.0,4890203136.0,0.0,0.28,5.15,17.82
117,300548,博创科技,48.82,6.08,2.8,392961.0,1895438370.93,8.91,50.05,45.95,46.4,46.02,2.36,14.72,39.31,8.45,14105502942.0,13031462942.0,-0.04,-0.06,-3.02,5.19
118,300502,新易盛,84.62,6.08,4.85,580525.0,4831998720.48,5.98,85.8,81.03,81.03,79.77,2.21,6.58,13.35,8.74,83970906381.0,74657457911.0,-0.05,-0.38,11.84,2.89
119,002195,岩山科技,5.64,6.02,0.32,4403306.0,2423315652.67,9.96,5.8,5.27,5.32,5.32,2.13,7.84,253.86,3.25,32043911521.0,31657596428.0,0.18,0.18,13.94,42.07
120,831689,克莱特,46.2,5.99,2.61,76533.0,349668808.59,11.84,47.7,42.54,42.6,43.59,1.49,20.18,76.57,7.1,3391080000.0,1752394505.0,0.02,0.11,83.41,139.38
121,603083,剑桥科技,37.61,5.97,2.12,322303.0,1209114311.0,8.88,38.65,35.5,35.5,35.49,2.52,12.03,80.18,4.3,10081053640.0,10080226220.0,-0.05,-0.08,-7.98,-7.36
122,300872,天阳科技,15.52,5.94,0.87,266782.0,411100635.25,8.26,15.87,14.66,14.66,14.65,5.08,6.77,69.71,2.19,7137580333.0,6112028200.0,-0.06,0.0,-19.88,-1.15
123,300552,万集科技,29.6,5.94,1.66,179728.0,536190266.61,9.48,30.9,28.25,28.25,27.94,3.25,13.47,-30.78,3.39,6308740115.0,3948528290.0,0.0,0.07,-14.5,-13.83
124,002664,信质集团,22.14,5.93,1.24,544455.0,1209294384.05,10.0,22.99,20.9,21.02,20.9,1.78,13.52,395.84,2.65,9037548000.0,8913034588.0,-0.05,-0.14,2.26,57.47
125,600817,宇通重工,13.07,5.92,0.73,315495.0,409979511.0,6.56,13.4,12.59,12.59,12.34,2.66,5.98,34.03,2.82,7016621527.0,6891148952.0,0.15,0.23,5.4,13.85
126,002590,万安科技,15.58,5.91,0.87,1146646.0,1813749806.35,8.02,16.18,15.0,15.0,14.71,1.07,23.17,66.52,2.76,8086837592.0,7711427957.0,-0.13,0.78,16.7,27.5
127,688251,井松智能,22.93,5.86,1.27,72422.0,168143735.0,13.39,24.5,21.6,21.6,21.66,3.46,14.01,-693.42,2.38,1991397353.0,1185321659.0,0.17,-0.35,13.4,42.42
128,835579,机科股份,30.73,5.86,1.7,77788.0,240102178.17,8.82,31.86,29.3,29.43,29.03,2.36,17.45,222.11,7.56,3978920400.0,1369771927.0,0.52,0.49,20.6,65.39
129,600233,圆通速递,13.24,5.84,0.73,773020.0,1007277891.0,6.08,13.29,12.53,12.57,12.51,3.0,2.24,13.31,1.4,45635015519.0,45635015519.0,0.3,0.0,-3.43,-6.69
130,605337,李子园,14.52,5.83,0.8,507916.0,736227195.0,10.86,15.09,13.6,13.6,13.72,2.79,12.88,21.64,3.24,5727167683.0,5727167683.0,0.0,0.07,24.42,28.61
131,000564,供销大集,2.56,5.79,0.14,9008892.0,2319311853.89,10.33,2.66,2.41,2.42,2.42,3.62,6.12,-1836.26,3.0,46228642186.0,37670478674.0,-0.39,0.0,-18.47,-25.8
132,002875,安奈儿,15.18,5.71,0.82,148703.0,222467830.08,7.24,15.36,14.32,14.4,14.36,3.2,8.15,-97.0,4.64,3233413957.0,2769138241.0,0.0,0.07,21.25,17.13
133,603373,安邦护卫,36.64,5.62,1.95,55265.0,199895339.0,7.12,36.97,34.5,34.58,34.69,2.02,12.16,46.44,2.17,3939784956.0,1664559157.0,-0.08,0.0,19.66,22.58
134,688103,国力股份,57.15,5.6,3.03,40616.0,229066110.0,7.87,58.0,53.74,54.01,54.12,2.36,4.26,115.47,4.83,5447282882.0,5447282882.0,0.0,0.16,10.43,40.52
135,300366,创意信息,8.3,5.6,0.44,897782.0,737314438.7,10.43,8.59,7.77,7.86,7.86,1.71,16.92,-21.22,2.83,5042882045.0,4403170667.0,0.12,0.48,-23.36,-10.75
136,300084,海默科技,7.95,5.58,0.42,653063.0,503783228.84,10.23,8.07,7.3,7.45,7.53,1.17,18.95,-54.59,3.14,4056470797.0,2739550793.0,-0.13,0.0,38.74,47.77
137,002735,王子新材,19.86,5.58,1.05,1536519.0,3005040539.59,12.23,20.5,18.2,18.42,18.81,0.88,54.76,225.35,4.38,7586650143.0,5572632787.0,0.4,2.42,109.27,114.47
